World Rank,University,Country,Teaching,International,Research,Citations,Income,Staff to Student,Num Students
1,California Institute of Technology,USA,96.3,59.8,99.4,99.7,95.6,86.1,2243
2,Stanford University,USA,95,56.6,98.8,99.3,62.4,82.3,15596
2,University of Oxford,United Kingdom,89.7,88.7,98.1,95.6,79.8,66.2,19919
4,Harvard University,USA,94.9,63.7,98.6,99.2,39.9,77.6,20152
5,Massachusetts Institute of Technology,USA,92.9,81.6,89.2,99.9,92.9,77.2,11074
6,Princeton University,USA,89.5,54.5,99.4,99.8,79.5,79.7,7929
7,University of Cambridge,United Kingdom,91.2,83.6,95.6,96.2,59.1,65.4,18812
8,Imperial College London,United Kingdom,88,91.4,90.9,93,87.5,65.8,15060
9,"University of California, Berkeley",USA,85.1,49.7,99.3,99.3,65.4,46,36186
10,University of Chicago,USA,89.6,55.3,92.9,98.7,61,86.1,14221
11,Yale University,USA,93.2,54.7,92.5,94.8,38.2,96.6,11751
12,ETH Zurich,Switzerland,82.5,95.7,92.7,86.6,61,53.2,18178
13,"University of California, Los Angeles",USA,87.3,42.3,93.8,95.9,61,71.7,38206
14,Columbia University,USA,89.7,66.1,82,96.1,61,90.3,25055
15,University of Pennsylvania,USA,90,38.1,89.4,96.2,43.7,87.8,20376
16,Johns Hopkins University,USA,81.8,57.3,85.5,95.3,100,100,15128
17,University College London,United Kingdom,83.5,89,88.8,86.8,45.1,70,26607
18,Cornell University,USA,77,53.8,92.1,91.8,39.5,72.2,21424
19,Northwestern University,USA,77.6,33.8,87.3,98.2,64.4,57,18334
20,University of Michigan,USA,76.1,47.6,91.4,91.6,53.9,77.2,41786
21,University of Toronto,Canada,79.6,65.1,89.4,85.1,42.9,32.9,66198
22,Carnegie Mellon University,USA,71.8,51.4,87,95.5,55.9,59.9,11885
23,Duke University,USA,72.3,45.8,81.5,97,100,94.9,15172
24,University of Washington,USA,74.7,39.1,81.3,97,41.3,65.4,44020
25,Georgia Institute of Technology,USA,70.2,66.3,79.5,90.3,74.9,30.4,19967
25,University of Texas at Austin,USA,75.5,42.1,80.7,91,57.9,41.8,49427
27,University of Tokyo,Japan,87.9,27.6,89.9,71.3,59,91.1,26199
28,University of Melbourne,Australia,68.4,77.2,82.5,83.7,67.6,15.2,40128
29,National University of Singapore,Singapore,74.4,92.3,87.2,67.2,77.4,49.8,31592
30,University of British Columbia,Canada,69.1,82.1,80.4,84,42.4,40.9,50152
31,University of Wisconsin-Madison,USA,76.1,29.8,80.1,88.2,54.8,69.6,39655
32,University of Edinburgh,United Kingdom,68.4,78.9,71.3,90.8,43.8,55.7,25774
33,University of Illinois at Urbana-Champaign,USA,74.2,36,84.9,80.8,61,36.3,42727
34,McGill University,Canada,74.4,75.9,80.4,75.2,40.3,57.4,31326
35,"University of California, Santa Barbara",USA,56.1,58.3,73.5,99.4,100,0,22020
35,University of Hong Kong,Hong Kong,78.4,81.7,85.9,62.1,62.5,40.9,19835
37,Australian National University,Australia,68.6,90,83.5,73.5,39.6,34.2,14604
38,"University of California, San Diego",USA,63.4,34.2,79,96.2,43.9,87.8,27233
39,London School of Economics and Political Science,United Kingdom,70.8,87.2,80.8,66.5,42.9,64.5,25929
40,Ecole Polytechnique Federale de Lausanne,Switzerland,62.4,98.8,57,95,49.8,70.9,9666
41,New York University,USA,73.8,38.7,67.4,89.2,29.5,86.5,42056
42,Karolinska Institute,Sweden,66.3,64.5,75.7,77.3,71.4,66.7,7774
42,University of North Carolina at Chapel Hill,USA,70.4,32.9,69.3,90.1,40,84.4,26518
44,"University of California, Davis",USA,67.9,51.7,71.6,82.7,52.5,56.5,35364
44,Washington University in St Louis,USA,66,44.3,62.8,95.2,61,91.1,12528
46,Peking University,China,81.5,54.1,67.9,64.3,99.9,80.2,40148
47,University of Minnesota,USA,66.1,28.7,74,84.7,61,39.2,46825
48,LMU Munich,Germany,65.4,54.7,66.5,85.5,42,49.8,35691
49,University of Manchester,United Kingdom,65.9,77.9,67.7,76.9,43.2,50.6,34938
50,Pohang University of Science and Technology,South Korea,63.9,28.8,63.9,88.2,100,72.6,3055